,UNIQUE_ID,county,precinct,total_uss,total_gov
1529,121-SC15,Fulton,SC15,1176,1173
1530,121-SC15A,Fulton,SC15A,787,783
1531,121-SC16A,Fulton,SC16A,1053,1049
1532,121-SC16B,Fulton,SC16B,662,661
1533,121-SC17A,Fulton,SC17A,17,16
1534,121-SC17B,Fulton,SC17B,0,0
1535,121-SC17C,Fulton,SC17C,359,358
1536,121-SC18A,Fulton,SC18A,157,160
1537,121-SC18B,Fulton,SC18B,381,379
1538,121-SC18C,Fulton,SC18C,674,670
1539,121-SC18D,Fulton,SC18D,145,145
1540,121-SC19A,Fulton,SC19A,84,82
1541,121-SC19B,Fulton,SC19B,328,329
1542,121-SC20,Fulton,SC20,978,977
1543,121-SC211,Fulton,SC211,402,405
1544,121-SC212,Fulton,SC212,777,776
1545,121-SC21A,Fulton,SC21A,0,0
1546,121-SC23A,Fulton,SC23A,708,706
1547,121-SC23B,Fulton,SC23B,118,118
1548,121-SC23C,Fulton,SC23C,446,451
1549,121-SC27,Fulton,SC27,590,590
1550,121-SC29A,Fulton,SC29A,674,679
1551,121-SC29B,Fulton,SC29B,1,1
1552,121-SC30A,Fulton,SC30A,60,59
1553,121-SC30B,Fulton,SC30B,241,245
1554,121-SC31,Fulton,SC31,66,67
1555,121-SC32,Fulton,SC32,8,8
1556,121-SC33,Fulton,SC33,5,5
1557,121-SS01,Fulton,SS01,1374,1405
1558,121-SS01A,Fulton,SS01A,389,399
1559,121-SS02A,Fulton,SS02A,363,369
1560,121-SS02B,Fulton,SS02B,254,255
1561,121-SS03,Fulton,SS03,227,232
1562,121-SS03A,Fulton,SS03A,193,198
1563,121-SS04,Fulton,SS04,730,754
1564,121-SS04A,Fulton,SS04A,39,39
1565,121-SS05,Fulton,SS05,657,671
1566,121-SS06,Fulton,SS06,549,563
1567,121-SS07A,Fulton,SS07A,399,411
1568,121-SS07B,Fulton,SS07B,209,212
1569,121-SS07C,Fulton,SS07C,168,170
1570,121-SS07D,Fulton,SS07D,0,0
1571,121-SS08A,Fulton,SS08A,263,270
1572,121-SS08B,Fulton,SS08B,214,225
1573,121-SS08C,Fulton,SS08C,79,81
1574,121-SS08D,Fulton,SS08D,280,286
1575,121-SS08E,Fulton,SS08E,90,92
1576,121-SS09A,Fulton,SS09A,1115,1135
1577,121-SS09B,Fulton,SS09B,1173,1192
1578,121-SS11A,Fulton,SS11A,798,815
1579,121-SS11B,Fulton,SS11B,236,240
1580,121-SS11C,Fulton,SS11C,31,33
1581,121-SS11D,Fulton,SS11D,121,127
1582,121-SS12,Fulton,SS12,816,825
1583,121-SS13A,Fulton,SS13A,459,467
1584,121-SS13B,Fulton,SS13B,282,285
1585,121-SS14,Fulton,SS14,491,499
1586,121-SS15A,Fulton,SS15A,316,318
1587,121-SS15B,Fulton,SS15B,310,316
1588,121-SS16,Fulton,SS16,792,804
1589,121-SS17,Fulton,SS17,958,975
1590,121-SS18A,Fulton,SS18A,139,146
1591,121-SS18B,Fulton,SS18B,91,91
1592,121-SS18C,Fulton,SS18C,92,93
1593,121-SS19A,Fulton,SS19A,527,529
1594,121-SS19B,Fulton,SS19B,488,497
1595,121-SS20,Fulton,SS20,417,430
1596,121-SS22,Fulton,SS22,599,623
1597,121-SS26,Fulton,SS26,464,469
1598,121-SS29A,Fulton,SS29A,628,640
1599,121-SS31,Fulton,SS31,511,525
1600,121-UC01A,Fulton,UC01A,491,488
1601,121-UC01B,Fulton,UC01B,42,42
1602,121-UC01C,Fulton,UC01C,0,0
1603,121-UC01D,Fulton,UC01D,0,0
1604,121-UC01E,Fulton,UC01E,141,141
1605,121-UC02A,Fulton,UC02A,274,280
1606,121-UC02B,Fulton,UC02B,7,7
1607,121-UC02C,Fulton,UC02C,109,110
1608,121-UC02D,Fulton,UC02D,12,14
1609,121-UC02E,Fulton,UC02E,1389,1392
1610,121-UC031,Fulton,UC031,517,520
1611,121-UC032,Fulton,UC032,91,90
1612,121-UC033,Fulton,UC033,0,0
1613,121-UC035,Fulton,UC035,0,0
