,UNIQUE_ID,county,precinct,total_uss,total_gov
1874,141-1A,Hancock,1A,393,390
1875,141-1B,Hancock,1B,216,215
1876,141-2A,Hancock,2A,348,340
1877,141-2B,Hancock,2B,171,171
1878,141-3A,Hancock,3A,127,130
1879,141-3B,Hancock,3B,279,275
1880,141-3C,Hancock,3C,134,134
1881,141-4A,Hancock,4A,379,366
1882,141-4B,Hancock,4B,161,165
1883,141-4C,Hancock,4C,82,81
